Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action
00001877,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6580,BNE Warehousing,Distribution - Queensland,27/10/2004
00001879,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6160,BNE Inspect,Cold End D Shift,15/08/2008
00001885,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7160,MEL Inspect,Plant Procedures & Specifications (ISO),10/08/2002
00001891,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4811,OIAP IT Computer Ops,Information Technology,24/12/2005
00001894,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Applications,26/01/2008
00001896,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,C Shift,28/04/2006
00001897,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5210,ADE Mould Repair,Forming,7/02/2002
00001898,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7005,MEL Shift 5,E Shift,11/09/2012
00001903,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5180,ADE Audit,E Shift,9/07/2015
00001904,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,20/07/2006
00001910,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,WA - GPA - Staff,Perth Day,8270,PTH Manufacturing,ACI Glass Packaging Perth,1/07/2003
00001911,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,12/09/2005
00001912,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Supply Chain,11/05/2002
00001917,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),31/08/2002
00001921,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4270,OIAP Manufacturing,Plant Engineering,3/10/2015
00001924,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,WA - GPA - Staff,Perth Day,4570,OIAP Distribution,Distribution - Western Australia,13/07/2013
00001928,Auto Terminations,Non SAP Company Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,,1/01/2016
00001930,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4441,Continuous Improvmt,Continuous Improvement,16/12/2017
00001932,Auto Terminations,Non SAP Company Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4296,OIAP Expatriates,Expatriates,2/09/2015
00001933,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,,2/07/2012
00001935,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7140,MEL Job Change,Job Change,26/09/2009
00001937,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,C Shift,13/04/2005
00001939,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Guangzhou,3296,PPG Expatriates,Expatriates,14/07/2001
00001940,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Shanghai,4296,OIAP Expatriates,Expatriates,2/12/2010
00001942,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,2/04/2005
00001954,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,6/11/2004
00001957,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,28/12/2002
00001958,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources - Glass,5/10/2002
00001964,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4540,OIAP Prodn Planning,National Planning,1/03/2014
00001966,Termination (HR checklist),Illness / Disability,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8240,PTH Maint - Machine,Machine Maintenance,20/12/2003
00001968,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Applications,17/09/2011
00001971,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5110,ADE Melt,Batch and Furnace,27/03/2003
00001975,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,D Shift,30/03/2004
00001978,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,29/01/2005
00001980,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4811,OIAP IT Computer Ops,Infrastructure,2/08/2008
00001981,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,13/11/2013
00001982,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Sales & Marketing,1/01/2008
00001985,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7580,MEL Warehousing,Distribution - Victoria,3/07/2007
00001987,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial,29/03/2008
00001988,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6110,BNE Melt,Batch & Furnace,2/01/2006
00001989,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8290,PTH HR & Training,Engineering,13/12/2003
00001990,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,3/07/2003
00001992,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,22/01/2005
00001994,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,18/08/2009
00001995,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,1/12/2001
00001998,Termination (HR checklist),Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Tianjin,4296,OIAP Expatriates,Expatriates,21/05/2004
00002006,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4375,AU Sales & Marketing,Sales,3/05/2003
00002007,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3410,PPG Information Tech,Information Technology,8/09/2001
00002012,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Mould Repair,27/05/2006
00002013,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,6/03/2002
00002015,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5180,ADE Audit,EHS & Risk,6/02/2015
00002019,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,20/11/2004
00002020,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4365,OIAP Market & Sales,Sales & Marketing,3/07/2010
00002024,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9220,SYD Maint - General,Engineering,1/01/2012
00002025,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4446,Reg SupplyChain Proc,Quantum_RTP,19/12/2018
00002026,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5260,ADE Plant Reliabilit,Engineering,7/07/2006
00002027,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5005,ADE Shift 5,Plant Reliability,2/10/2014
00002029,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,D Shift,23/05/2005
00002032,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5170,ADE Pack,B Shift,23/04/2015
00002033,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5004,ADE Shift 4,D Shift,28/09/2013
00002035,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,19/05/2012
00002036,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4290,APAC HR & Training,Human Resources Australia,2/01/2006
00002038,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8180,PTH Audit,C Shift,24/11/2001
00002040,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,29/09/2011
00002042,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5814,ADE AD51 MachineLine,E Shift,23/04/2015
00002043,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4360,OI Austl Marketing,Marketing,24/01/2004
00002044,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Engineering,2/12/2003
00002046,Auto Terminations,Non SAP Company Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Auckland,4296,OIAP Expatriates,Expatriates,1/12/2012
00002047,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5005,ADE Shift 5,E Shift,12/01/2014
00002049,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Business Services,22/11/2001
00002050,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),21/11/2001
00002053,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4320,OIAP Manuf Ops,Forming-Job Change,22/12/2001
00002054,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4510,OIAP Regional Qualit,Regional Quality,8/04/2006
00002056,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5140,ADE Job Change,Job Change,15/07/2006
00002058,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7001,MEL Shift 1,A Shift,12/10/2010
00002060,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002061,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,2/10/2001
00002063,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,31/05/2002
00002064,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,1/01/2003
00002065,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9260,SYD Plant Reliabilit,Engineering,2/07/2005
00002067,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,2/10/2001
00002068,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,2/10/2001
00002069,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,2/10/2001
00002071,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,A Shift,24/09/2001
00002073,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,10/02/2004
00002076,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5210,ADE Mould Repair,Mould Repair,11/09/2014
00002077,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5003,ADE Shift 3,C Shift,2/10/2014
00002078,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7120,MEL Forming Services,Forming,16/02/2010
00002080,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002081,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002082,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002083,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002085,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,3291,PPG HR Special,ACI Packaging,1/11/2001
00002086,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,C Shift,25/03/2002
00002087,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Supply Chain,18/02/2006
00002089,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5002,ADE Shift 2,B Shift,30/03/2012
00002092,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5110,ADE Melt,Batch and Furnace,2/10/2014
00002093,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5005,ADE Shift 5,E Shift,5/05/2011
00002094,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5818,ADE AD50 MachineLine,D Shift,23/04/2015
00002095,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5818,ADE AD50 MachineLine,A Shift,9/07/2015
00002096,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5005,ADE Shift 5,E Shift,10/03/2011
00002099,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,10/09/2005
00002100,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7270,MEL Manufacturing,ACI Glass Packaging Melbourne,9/04/2005
00002101,Termination (HR checklist),Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Shanghai,4450,GOSC Facility Advanc,Facilities Advancement,7/04/2009
00002102,Auto Terminations,Non SAP Company Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4296,OIAP Expatriates,Expatriates,1/02/2011
00002105,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4540,OIAP Prodn Planning,Supply Chain Planning,6/06/2003
00002106,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,2/09/2004
00002107,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6260,BNE Plant Reliabilit,Mechanical Services,28/03/2012
00002108,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4570,OIAP Distribution,Distribution - Queensland,28/11/2009
00002111,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,D Shift,23/04/2002
00002113,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,24/04/2004
00002114,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,21/01/2006
00002115,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,21/01/2006
00002116,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,30/01/2010
00002117,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5260,ADE Plant Reliabilit,Mechanical Engineering,31/08/2009
00002118,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5240,ADE Maint - Machine,Forming,24/08/2002
00002120,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Stock Control,22/07/2006
00002121,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6270,BNE Manufacturing,O-I Brisbane Plant,1/07/2013
00002124,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5001,ADE Shift 1,Plant Reliability,2/10/2014
00002125,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7260,MEL Plant Reliabilit,Engineering Services,24/01/2004
00002129,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,14/03/2006
00002131,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5818,ADE AD50 MachineLine,E Shift,23/04/2015
00002137,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6240,BNE Maint - Machine,Forming Maintenance,14/03/2006
00002138,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6260,BNE Plant Reliabilit,Mechanical Services,14/03/2006
00002139,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,2/10/2014
00002141,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,25/03/2006
00002144,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),30/10/2004
00002145,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5100,ADE Batch,Batch and Furnace,10/05/2008
00002147,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Information Technology,5/08/2006
00002150,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5180,ADE Audit,Quality Control,14/10/2014
00002152,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8180,PTH Audit,Audit and Resort,30/04/2002
00002156,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,A Shift,24/07/2008
00002159,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,C Shift,22/12/2004
00002163,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,C Shift,21/04/2005
00002167,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,B Shift,12/08/2002
00002168,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,B Shift,1/10/2002
00002169,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Information Technology,2/10/2004
00002170,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,C Shift,7/03/2006
00002171,Termination (HR checklist),Deceased,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4280,OIAP Cust Tech Serv,Customer Technical Services Australia,11/01/2011
00002178,Termination (HR checklist),Non SAP company transfer,1000,ACI Operations Pty Ltd,NSW - Plastics Employees,Blacktown Day,4297,OIAP Plastics,,1/11/2004
00002181,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5160,ADE Inspect,A Shift,3/07/2009
00002190,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,D Shift,6/07/2005
00002191,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources Australia,29/10/2005
00002192,Auto Terminations,Abandonment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,29/10/2009
00002193,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,29/06/2007
00002194,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,,,,15/06/2003
00002196,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,25/12/2013
00002197,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,17/07/2004
00002198,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5815,ADE AD52 MachineLine,B Shift,23/04/2015
00002199,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7210,MEL Mould Repair,Mould Repair,7/11/2002
00002200,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Electrical Maintenance,10/09/2014
00002201,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9290,SYD HR & Training,Occupational Health & Safety,9/09/2003
00002202,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources - Glass,9/11/2002
00002203,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,4370,AU Beer Spirits RT,Beer Segment O-I Australia,1/10/2013
00002208,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,E Shift,29/09/2003
00002209,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,A Shift,30/11/2002
00002213,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,8/07/2006
00002214,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,23/06/2011
00002217,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4446,Reg SupplyChain Proc,Risk Management,6/01/2012
00002220,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4450,GOSC Facility Advanc,Facilities Engineering,4/03/2008
00002221,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,A Shift,26/06/2004
00002224,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5330,ADE Procurement,Business Services,1/03/2008
00002225,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6240,BNE Maint - Machine,Forming Maintenance,13/01/2007
00002227,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,20/01/2007
00002228,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,20/01/2007
00002229,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Business Services,1/09/2003
00002230,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,19/03/2011
00002233,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,C Shift,11/10/2007
00002235,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,D Shift,2/06/2004
